가게이름,카테고리,위치,평점,리뷰수
비어셰프냐항,호프 | 요리주점,서울 종로구 윤보선길 10,0.0,0
해빛,카페,서울 종로구 율곡로 39 3층,0.0,0
조스키친,음식점,서울 종로구 율곡로3길 74-6,5.0,0
남자만,한식,서울 종로구 율곡로 55,0.0,0
은소보리밥,한식,서울 종로구 윤보선길 22,0.0,0
주식 회사복담 안국지점,커피전문점,서울 종로구 윤보선길 78,0.0,0
안국교자,한식,서울 종로구 율곡로3길 74-10,0.0,0
노티드 안국,디저트카페,서울 종로구 북촌로 6-3 1층,3.3,1344
다운타우너 안국,햄버거,서울 종로구 북촌로 6-4 1층,4.1,1081
깡통만두,분식,서울 종로구 북촌로2길 5-6,3.9,601
어니언 안국점,카페,서울 종로구 계동길 5,3.5,1441
카페 레이어드 안국점,디저트카페,서울 종로구 북촌로2길 2-3,3.0,619
몽중헌 안국점,중국요리,서울 종로구 북촌로 31-22,4.0,104
이태리재,이탈리안,서울 종로구 율곡로1길 74-9 1층,3.4,225
