,가게이름,카테고리,위치,평점,리뷰수,위도,경도
106,스낵바세이지,일본식주점,서울 은평구 연서로25길 20-4 1층,2.6,66,37.6173423,126.9171379
107,탕화쿵푸마라탕,중식,서울 은평구 연서로29길 17,3.8,1,37.6190892,126.9182975
108,코젤다크하우스 연신내점,호프 | 요리주점,서울 은평구 연서로29길 20-12 1 2층,3.4,12,37.6195568,126.9187812
109,봉삼스시 연신내1호점,초밥 | 롤,서울 은평구 통일로 863-20 1층,3.2,10,37.6203072,126.9194533
110,홍대칼국수와족발 연신내점,한식,서울 은평구 통일로 855-15 1층,3.3,37,37.619209,126.9197683
111,춘천명가 닭갈비막국수 연신내,닭요리,서울 은평구 연서로29길 16,3.1,4,37.6192201,126.9185153
112,호박,호프 | 요리주점,서울 은평구 연서로27길 16-11,1.8,15,37.6186155,126.9179328
113,미분당 연신내점,베트남음식,서울 은평구 연서로 211-2 1층,4.4,77,37.617507,126.9188845
114,1943 연신내점,호프 | 요리주점,서울 은평구 연서로29길 8 2층,3.0,20,37.6188826,126.919252
115,다온카츠,돈까스 | 우동,서울 은평구 연서로29길 21-11 1층,4.1,224,37.6188761,126.9178486
116,씨즈닝테이블,양식,서울 은평구 연서로28길 19 1층,4.3,18,37.6172114,126.921929
117,낭풍,찌개 | 전골,서울 은평구 연서로29길 11-2,5.0,11,37.6187987,126.9187412
118,페스카,이탈리안,서울 은평구 연서로 204 1층,4.5,115,37.6167177,126.9192822
119,무지개양꼬치 연신내점,양꼬치,서울 은평구 통일로83길 13 1층,5.0,14,37.6207458,126.9183527
120,파리바게뜨 연신내점,제과 | 베이커리,서울 은평구 통일로 855-8 진원와이타운상가 1층 104~107호,2.5,3,37.6190571,126.9201953
121,포차마실,실내포장마차,서울 은평구 연서로29길 10-1,3.5,1,37.6190659,126.9190975
122,아현닭발 연신내점,닭요리,서울 은평구 연서로27길 8-6,4.0,12,37.6179093,126.9189342
123,도리연닭도리탕 연신내점,한식,서울 은평구 연서로27길 20 1층 102호,4.3,85,37.6183153,126.9175226
124,웅추삼계탕,삼계탕,서울 은평구 연서로27길 9,3.2,7,37.6177053,126.9183991
125,신라마라탕 연신내점,중국요리,서울 은평구 연서로29길 14-6 2층,4.0,10,37.61919350000001,126.9189597
126,써브웨이 연신내점,샌드위치,서울 은평구 연서로 215-1 1층,2.9,8,37.6178665,126.9194706
127,투썸플레이스 연신내엘피스점,커피전문점,서울 은평구 통일로 829 1  2층,4.6,5,37.6174094,126.9222059
128,돌다리 김치찌개 연신내점,한식,서울 은평구 통일로 863-18,2.8,0,37.6201867,126.9194811
129,케이크를부탁해 연신내역점,카페,서울 은평구 연서로29길 8,3.8,8,37.6188826,126.919252
130,비비드칩마카롱,디저트카페,서울 은평구 통일로75길 6-20,4.4,4,37.6164742,126.9227019
131,천유향,중국요리,서울 은평구 연서로29길 20-18 2층,4.1,5,37.6197271,126.9190777
132,꽃,일본식주점,서울 은평구 연서로29길 20-11 지하1층,4.3,1,37.6197184,126.9185251
133,섬진강명품민물장어,장어,서울 은평구 통일로85길 2,4.0,0,37.6222407,126.9193404
134,경복궁개성손만두 은평점,한식,서울 은평구 통일로82길 17 지하 2층,4.6,7,37.6214197,126.9202166
135,배스킨라빈스 연신내역점,아이스크림,서울 은평구 통일로 855-7,4.0,23,37.6188241,126.9200412
136,어사출또 연신내점,회,서울 은평구 통일로 863-23 1층,3.0,14,37.6202841,126.919192
137,명륜진사갈비 서울연신내점,갈비,서울 은평구 통일로 835 2층,3.2,11,37.6179076,126.9217014
138,삿뽀로 우동초밥모밀전문점,돈까스 | 우동,서울 은평구 연서로28길 18,3.3,19,37.6171264,126.9216017
139,솥뚜껑삼겹살,삼겹살,서울 은평구 연서로29길 11 1층,2.1,21,37.6188972,126.918776
140,엉터리생고기 연신내점,육류 | 고기,서울 은평구 통일로83길 6-10,4.1,10,37.621524,126.9193021
141,치즈당,디저트카페,서울 은평구 통일로83길 5-4 1층,4.7,21,37.6207462,126.9190879
142,마산종가아구찜,아구,서울 은평구 연서로 191,4.5,10,37.6159026,126.9180401
143,주다,양식,서울 은평구 통일로83길 17-16,4.4,160,37.6203094,126.918222
144,스시남,초밥 | 롤,서울 은평구 통일로83길 5-12 1층,3.6,16,37.6205601,126.9189264
145,죠몬,일식,서울 은평구 연서로27길 13-1 1층,4.3,12,37.617913,126.9178569
146,놀숲 연신내로데오점,만화카페,서울 은평구 연서로29길 6 3층,3.1,7,37.6187631,126.9195754
147,초램양고기,양꼬치,서울 은평구 통일로85길 8,4.2,0,37.622224,126.9188048
148,오징어청춘 연신내점,해물 | 생선,서울 은평구 연서로29길 20-6,1.6,7,37.6194568,126.9184926
149,이디야커피 연신내역점,커피전문점,서울 은평구 통일로 855-9,3.7,0,37.618854,126.9198697
150,블루보틀 삼청 카페,카페,서울 종로구 북촌로5길 76 1~3층,3.3,931,37.58011510000001,126.9808482
151,황생가칼국수,국수,서울 종로구 북촌로5길 78,3.6,624,37.5800396,126.9806545
152,토속촌삼계탕,삼계탕,서울 종로구 자하문로5길 5,3.7,65,37.5775632,126.9715804
153,아키비스트,카페,서울 종로구 효자로13길 52 1층,3.7,702,37.5821697,126.9726616
154,스미스가 좋아하는 한옥,이탈리안,서울 종로구 삼청로 22-7,3.0,223,37.5778867,126.9800951
155,H라운지,카페,서울 종로구 자하문로4길 21-9,2.9,231,37.5778463,126.9734671
156,차마시는 뜰,전통찻집,서울 종로구 북촌로11나길 26 1층,4.4,238,37.5821492,126.9822617
157,삼청동수제비,수제비,서울 종로구 삼청로 101-1,2.8,930,37.5844951,126.9818969
158,서촌계단집,해물 | 생선,서울 종로구 자하문로1길 15 1층,3.1,535,37.5763117,126.9714855
159,테라로사 광화문점,커피전문점,서울 종로구 종로1길 50,3.7,129,37.5745869,126.9792435
160,체부동잔치집,국수,서울 종로구 자하문로1길 16 1층,3.8,532,37.5764739,126.9714867
161,몽중헌 안국점,중국요리,서울 종로구 북촌로 31-22,4.0,104,37.5795677,126.9838275
162,안주마을,호프 | 요리주점,서울 종로구 자하문로1길 3,4.1,319,37.5764173,126.9721203
163,이태리재,이탈리안,서울 종로구 율곡로1길 74-9 1층,3.4,225,37.57876479999999,126.9817259
164,칸다소바 경복궁점,일본식라면,서울 종로구 자하문로7길 5 1층,3.9,564,37.5781378,126.9712453
165,노티드 안국,디저트카페,서울 종로구 북촌로 6-3 1층,3.3,1344,37.5774613,126.9860468
166,청수정,한식,서울 종로구 삼청로 91,3.3,72,37.5836042,126.9816079
167,수와래,스테이크 | 립,서울 종로구 삼청로 82 2층,,227,37.5826208,126.9819915
168,안녕인사동,테마카페,서울 종로구 인사동길 49,4.1,511,37.5745213,126.9838508
169,라카페갤러리,갤러리카페,서울 종로구 자하문로10길 28 1층,4.6,119,37.5792534,126.9730153
170,어니언 안국점,카페,서울 종로구 계동길 5,3.5,1441,37.5773379,126.9863689
171,애즈라이크,카페,서울 종로구 효자로7길 23 1층,4.0,322,37.576549,126.9740034
172,영화루,중국요리,서울 종로구 자하문로7길 65,3.0,242,37.5801015,126.9690071
173,가스트로통,양식,서울 종로구 자하문로6길 11-36 1층,3.2,255,37.5786172,126.9725961
174,깡통만두,분식,서울 종로구 북촌로2길 5-6,3.9,601,37.57811299999999,126.9860787
175,오레노라멘 인사점,일본식라면,서울 종로구 율곡로 49-4,4.1,537,37.5764844,126.9845555
176,가배도 삼청점,다방,서울 종로구 북촌로5길 56-8 101호,3.6,324,37.5798884,126.9821431
177,잘빠진메밀 서촌점,국수,서울 종로구 자하문로11길 4 1  2층,3.4,210,37.5796275,126.9709655
178,다운타우너 안국,햄버거,서울 종로구 북촌로 6-4 1층,4.1,1081,37.5774194,126.9863044
179,한일관 광화문점,한정식,서울 종로구 종로1길 50 더케이트윈타워 A동 지하1층,3.2,21,37.574769,126.979032
180,스태픽스,카페,서울 종로구 사직로9길 22 1층 102호,3.3,787,37.5774304,126.9680273
181,청진옥,해장국,서울 종로구 종로3길 32,2.9,264,37.5716911,126.9794619
182,소금집 델리 안국,샌드위치,서울 종로구 북촌로4길 19 신영빌딩 1층 103호,3.7,900,37.5794245,126.9862387
183,mk2,카페,서울 종로구 자하문로10길 17,3.3,174,37.5794697,126.9725051
184,광화문한옥집,한식,서울 종로구 새문안로5가길 7 세종클럽 지하 1층,3.1,115,37.57274049999999,126.9740251
185,온지음,한정식,서울 종로구 효자로 49 4층,4.2,30,37.580487,126.9733391
186,나무사이로,커피전문점,서울 종로구 사직로8길 21 1층,3.9,153,37.5745951,126.9709533
187,도트블랭킷,카페,서울 종로구 윤보선길 22 1층,4.2,322,37.5769858,126.9840823
188,기와탭룸,호프 | 요리주점,서울 종로구 율곡로1길 74-7 1층,4.2,192,37.5786068,126.9816884
189,취천루,중국요리,서울 종로구 자하문로7길 9,3.5,112,37.5782269,126.971021
190,경춘자의 라면땡기는날,분식,서울 종로구 율곡로3길 82,3.3,329,37.5792721,126.9822511
191,풍년쌀농산,분식,서울 종로구 북촌로5가길 32,3.3,361,37.58093059999999,126.9816839
192,코피티암커피 경복궁점,카페,서울 종로구 자하문로4길 7,3.1,134,37.5773534,126.9726259
193,크리스탈제이드 광화문상하이팰리스점,,서울 종로구 율곡로2길 7 서머셋팰리스 1층 103호,3.8,83,37.5749752,126.9812194
194,서촌뜰애우곱창타운,곱창 | 막창,서울 종로구 자하문로1나길 1,4.1,102,37.5765254,126.9716003
195,카페 레이어드 안국점,디저트카페,서울 종로구 북촌로2길 2-3,3.0,619,37.5776998,126.9859145
196,먹쉬돈나 삼청동점,떡볶이,서울 종로구 율곡로3길 74-7,2.6,103,37.5790267,126.9825273
197,포담,중국요리,서울 종로구 사직로 133-10 2층 1호,3.5,111,37.5763566,126.9734287
198,스코프 서촌점,제과 | 베이커리,서울 종로구 필운대로5가길 31,4.0,185,37.5803223,126.9674644
199,이태리총각,이탈리안,서울 종로구 자하문로9길 11,3.4,26,37.5792842,126.9705513
200,북촌도담,한식,서울 종로구 북촌로1길 9,3.4,229,37.5773041,126.985261
201,두가헌,이탈리안,서울 종로구 삼청로 14,3.3,4,37.577203,126.9799131
202,두오모 북스앤쿡스,이탈리안,서울 종로구 자하문로16길 5 1층,3.9,69,37.5816104,126.9715553
203,서촌김씨뜨라또리아,이탈리안,서울 종로구 자하문로9길 6 2층,4.1,108,37.5795435,126.9708342
204,사발,한식,서울 종로구 사직로8길 34 경희궁의아침 3단지 1층 142호,3.5,474,37.5732644,126.9719961
205,솔트24,제과 | 베이커리,서울 종로구 율곡로3길 75 1층,4.4,198,37.5789379,126.9820473
206,김진목삼,삼겹살,서울 종로구 자하문로1길 51 1층,4.6,158,37.5767877,126.9695521
207,마지,한식,서울 종로구 자하문로5길 19,3.8,38,37.5775672,126.9707957
208,차이797 광화문점,중식,서울 종로구 새문안로5길 31 센터포인트 광화문빌딩 2층,3.5,2,37.573135,126.9742155
209,광화문뚝감,감자탕,서울 종로구 새문안로3길 21,4.0,226,37.5720682,126.9725604
210,대충유원지 인왕산,카페,서울 종로구 필운대로 46 무목적빌딩 4층,3.8,301,37.5800431,126.9688155
211,일품당 광화문점,샤브샤브,서울 종로구 세종대로23길 25,3.1,44,37.5714698,126.9750342
212,베이징코야,중국요리,서울 종로구 율곡로2길 25 연합뉴스 빌딩 지하 1층,3.6,42,37.5743993,126.9803563
213,꽃밥에피다,한식,서울 종로구 인사동16길 3-6 1층,,175,37.5752362,126.9840007
214,후라토식당 본점,한식,서울 종로구 새문안로5길 19 로얄빌딩 아케이드 지하1층 63호,4.0,155,37.5720063,126.9742753
